Quotation Expecting Day,Customer Name,Part Number,Product Name,Product Category,Quantity
2025-02-20,Sirimavo Bandaranayake Children Hospital,00020003110,NORMAL CONTROL ASSAYED 10X1ML,COAGULATION,6.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,9758515,"THROMBIN TIME KIT 90-370 TEST(1X9ML,4X2,5,8 ML)",COAGULATION,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,20002400,EMULSION WASH-R ACL 9000-1L,COAGULATION,40.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,9831700,CLEANING SOLUTION 500ML,COAGULATION,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,9757600,FACTOR DILUENT 100ML,COAGULATION,2.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,6800000,ROTORS SET (4x25 ROTORS),COAGULATION,5.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,20011800,FACTOR VIII DEF PLASMA HEMOSIL 10XML,COAGULATION,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,20011900,FACTOR IX DEF PLASMA HEMOSIL 10X1ML,COAGULATION,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,8469810,PT RGT PT-FIBRINOGEN HS PLUS 5+5X8ML,COAGULATION,8.0
2025-02-11,Dr. Neville Fernando Teaching Hospital (NFTH),OSR6221,GLUCOSE- R1 4 X 53 ML- R2 4 X 27 ML,BIOCHEMISTRY,1.0
2025-02-11,Dr. Neville Fernando Teaching Hospital (NFTH),66300,SYSTEM CALIBRATOR- 20 X 5 ML,BIOCHEMISTRY,1.0
2025-02-18,General Hospital (Teaching) Kandy,26315089,GEM 3/3.5K BG/ISE/GL150 TEST IQM PAK,BLOODGAS & ELECTROLYTE,14.0
2025-02-17,Asiri Hospital Matara (Pvt) Ltd (Uyanwatta),MU919600,CL ELECTRODE AU480 ANALYZER,BIOCHEMISTRY,1.0
2025-02-17,Asiri Hospital Matara (Pvt) Ltd (Uyanwatta),MU919500,K ELECTRODE AU480 ANALYZER,BIOCHEMISTRY,1.0
2025-02-17,Asiri Hospital Matara (Pvt) Ltd (Uyanwatta),MU919400,NA ELECTRODE AU480 ANALYZER,BIOCHEMISTRY,1.0
2025-02-18,Base Hospital - Balapitiya,26315089,GEM 3/3.5K BG/ISE/GL150 TEST IQM PAK,BLOODGAS & ELECTROLYTE,22.0
2025-02-18,Castle Street Hospital for Women,5508-IL,PRINTER PAPER,LOCAL-PURCHASE,3.0
2025-02-17,Castle Street Hospital for Women,33510,HLH- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,5.0
2025-02-17,Castle Street Hospital for Women,33560,TESTOSTERONE- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,5.0
2025-02-17,Castle Street Hospital for Women,33600,CORTISOL- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,1.0
2025-02-17,Castle Street Hospital for Women,33530,PROLACTIN- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,5.0
